ids,locales,prices,bedrooms,sqft,dates,titles,data.latitude,data.longitude,data.accuracy,links,north,north_work
7144099051, (41 s 900 e),1510,1,755,2020-06-18 11:22,Get Settled Into Your New Home,40.7776,-111.8749,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-get-settled-into-your/7144099051.html,0.0831670000000031,4.40785100000016
7144095808, (1339 e 2100 s),1699,1,922,2020-06-18 11:17,Get Settled Into Your New Home,40.7056,-111.8548,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-get-settled-into-your/7144095808.html,0.103267000000002,5.47315100000013
7144092826, (Cotton Wood),1099,1,,2020-06-18 11:14,Receive ONE MONTH FREE!,40.624196,-111.848073,5,https://saltlakecity.craigslist.org/apa/d/midvale-receive-one-month-free/7144092826.html,0.109994,5.82968200000002
7144080214,,1095,1,575,2020-06-18 11:11,Open Floor Concept With Beautiful Finishes!,40.698846,-111.880737,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-open-floor-concept-with/7144080214.html,0.0773300000000035,4.09849000000018
7144090043, (SLC),1595,2,964,2020-06-18 11:10,Cute And Classy Historic Apartments!,40.770256,-111.883728,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-cute-and-classy-historic/7144090043.html,0.0743389999999948,3.93996699999973
7144084196,,1145,2,767,2020-06-18 11:02,"Beautiful Finishes, Open Floor Concept!",40.699579,-111.853367,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-beautiful-finishes-open/7144084196.html,0.104699999999994,5.54909999999968
7144069906," (893 S Lily Drive Fruit Heights, UT)",1499,2,1205,2020-06-18 10:59,Two Bedroom Top Floor with Beautiful Views!,41.0375,-111.9326,22,https://saltlakecity.craigslist.org/apa/d/kaysville-two-bedroom-top-floor-with/7144069906.html,0.0254670000000061,1.34975100000032
7144080757,,969,1,576,2020-06-18 10:57,$499 MOVES YOU IN! NO RENT UNTIL AUGUST!,40.6596,-111.9193,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-499-moves-you-in-no-rent/7144080757.html,0.0387669999999929,2.05465099999962
7144028742, (Salt lake City),2090,2,1191,2020-06-18 10:51,Artsy 2-Bedroom with Views!,40.7559,-111.8967,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-artsy-2-bedroom-with/7144028742.html,0.0613670000000042,3.25245100000022
7144054206, (Midvale),1071,1,749,2020-06-18 10:49,Ready For You To Move In NOW!,40.6152,-111.8851,22,https://saltlakecity.craigslist.org/apa/d/midvale-ready-for-you-to-move-in-now/7144054206.html,0.0729670000000056,3.86725100000029
7144068986,,1084,1,716,2020-06-18 10:41,1 Bedroom 1 Bath Available,40.5046,-111.881,22,https://saltlakecity.craigslist.org/apa/d/draper-1-bedroom-1-bath-available/7144068986.html,0.0770669999999996,4.08455099999998
7144022636, (West Jordan),979,1,795,2020-06-18 10:35,"Swimming pool, splash pad, dog park",40.582697,-112.044411,5,https://saltlakecity.craigslist.org/apa/d/west-jordan-swimming-pool-splash-pad/7144022636.html,-0.0863439999999969,-4.57623199999983
7144053409,,1500,1,733,2020-06-18 10:21,Beautiful 1 bedroom with large windows!,40.7548,-111.881,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-beautiful-1-bedroom-with/7144053409.html,0.0770669999999996,4.08455099999998
7144048341,,1239,2,934,2020-06-18 10:14,INSANELY LOW RENT! 2 Bed 1 Bath! Amazing Move In Special!,40.629586,-111.831207,5,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-insanely-low-rent-2-bed/7144048341.html,0.126859999999994,6.72357999999966
7127690391,,1710,2,1482,2020-06-18 10:11,"Online Rent Payments, Designer Finishes and Accents, Playground",40.607918,-111.914803,5,https://saltlakecity.craigslist.org/apa/d/midvale-online-rent-payments-designer/7127690391.html,0.0432639999999935,2.29299199999966
7144025802, (Bluffdale),1275,1,785,2020-06-18 10:04,We have the PERFECT place for you! Welcome Home!,40.474731,-111.91309,5,https://saltlakecity.craigslist.org/apa/d/draper-we-have-the-perfect-place-for/7144025802.html,0.0449770000000029,2.38378100000016
7144032198, (Salt Lake City),1287,2,1066,2020-06-18 09:52,Beautiful 2 Bedroom 2 Bathroom With Walk-In Closet!!,40.690332,-111.912564,5,https://saltlakecity.craigslist.org/apa/d/west-valley-city-beautiful-2-bedroom-2/7144032198.html,0.0455029999999965,2.41165899999982
7137066067, (West Jordan),972,1,614,2020-06-18 09:52,"Resident Courtyard and Clubhouse, Sparkling Heated Pool, Sport Court",40.609247,-111.971596,5,https://saltlakecity.craigslist.org/apa/d/west-jordan-resident-courtyard-and/7137066067.html,-0.0135290000000055,-0.717037000000289
7144031482, (1339 e 2100 s),1699,1,922,2020-06-18 09:51,Plan Ahead and Find Your New Home Here!,40.7056,-111.8548,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-plan-ahead-and-find-your/7144031482.html,0.103267000000002,5.47315100000013
7144029858, (41 s 900 e),1510,1,755,2020-06-18 09:49,Plan Ahead and Find Your New Home Here!,40.7776,-111.8749,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-plan-ahead-and-find-your/7144029858.html,0.0831670000000031,4.40785100000016
7144029509, (Salt Lake City),1250,2,1073,2020-06-18 09:48,Outstanding Salt Lake City location! Our views are fantastic!,40.7145,-111.8931,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-outstanding-salt-lake/7144029509.html,0.0649669999999958,3.44325099999978
7144028750, (Bountiful),1175,1,819,2020-06-18 09:47,"Newly Renovated Home on the Top Floor, Spacious Floor Plan with Washer",40.869751,-111.889758,10,https://saltlakecity.craigslist.org/apa/d/bountiful-newly-renovated-home-on-the/7144028750.html,0.0683089999999993,3.62037699999996
7144024314, (Midvale),995,2,825,2020-06-18 09:41,"Look and Lease today!!! Move in Tomorrow!! Hurry in, last one!!",40.6152,-111.8851,22,https://saltlakecity.craigslist.org/apa/d/midvale-look-and-lease-today-move-in/7144024314.html,0.0729670000000056,3.86725100000029
7144024271, (Midvale),950,1,756,2020-06-18 09:41,Our 1 bedrooms are FLYING off the market!,40.625209,-111.89308,10,https://saltlakecity.craigslist.org/apa/d/midvale-our-1-bedrooms-are-flying-off/7144024271.html,0.0649870000000021,3.44431100000011
7144023228,,1099,1,,2020-06-18 09:39,One Bedroom Ready To Move In!,40.6226,-111.7777,22,https://saltlakecity.craigslist.org/apa/d/sandy-one-bedroom-ready-to-move-in/7144023228.html,0.180367000000004,9.55945100000021
7144011549,,1101,1,710,2020-06-18 09:35,"Storage Units Available, Complete Stainless Steel Appliance Package",40.6568,-111.8904,22,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-storage-units-available/7144011549.html,0.0676670000000001,3.58635100000001
7144020319, (West Jordan),972,1,614,2020-06-18 09:35,"Energy Efficient Whirlpool Appliances, Sport Court, On Site Day Care",40.609247,-111.971596,5,https://saltlakecity.craigslist.org/apa/d/west-jordan-energy-efficient-whirlpool/7144020319.html,-0.0135290000000055,-0.717037000000289
7144015534, (West Jordan),972,1,614,2020-06-18 09:28,"Sparkling Heated Pool, Submit Service Requests Online, Playground",40.609247,-111.971596,5,https://saltlakecity.craigslist.org/apa/d/west-jordan-sparkling-heated-pool/7144015534.html,-0.0135290000000055,-0.717037000000289
7144013290, (Sandy),1115,1,767,2020-06-18 09:25,"Always fresh, forever original, just like you.",40.597876,-111.892291,10,https://saltlakecity.craigslist.org/apa/d/sandy-always-fresh-forever-original/7144013290.html,0.0657759999999996,3.48612799999998
7144012295, (Salt Lake City),1399,1,709,2020-06-18 09:23,"Ceiling Fans, Prime Location in Sugar House, Pet Friendly, Dishwasher",40.725646,-111.857754,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-ceiling-fans-prime/7144012295.html,0.100313,5.31658899999999
7144011579, (SANDY),1144,1,654,2020-06-18 09:22,Available Now! 1 Bedroom Apartments at Park at City Center,40.571982,-111.896203,10,https://saltlakecity.craigslist.org/apa/d/sandy-available-now-1-bedroom/7144011579.html,0.0618639999999999,3.278792
7144010702," (Bountiful, UT)",1133,2,832,2020-06-18 09:21,"2 Bedroom, 2 Bathroom with Window Seats!",40.860228,-111.895682,10,https://saltlakecity.craigslist.org/apa/d/north-salt-lake-2-bedroom-2-bathroom/7144010702.html,0.0623850000000061,3.30640500000033
7144005339, (Salt Lake City),1429,1,713,2020-06-18 09:13,Wide Open Spaces and Floorplans,40.769046,-111.881669,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-wide-open-spaces-and/7144005339.html,0.0763979999999975,4.04909399999987
7144002010,,1144,2,,2020-06-18 09:08,"Large Patio/Balcony, Newly Renovated Units, Central Heating, BBQ Area",40.6916,-112.0011,22,https://saltlakecity.craigslist.org/apa/d/west-valley-city-large-patio-balcony/7144002010.html,-0.0430329999999941,-2.28074899999969
7132063083, (Downtown),2750,2,1500,2020-06-18 06:34,Furn 2 Bedroom Loft Downtown SLC,40.768463,-111.887869,10,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-furn-2-bedroom-loft/7132063083.html,0.0701980000000049,3.72049400000026
7143755563,,967,1,733,2020-06-17 19:30,"Abundant Cabinet Space, Garage Parking Included, Cyber Café",40.5959,-111.9644,22,https://saltlakecity.craigslist.org/apa/d/west-jordan-abundant-cabinet-space/7143755563.html,-0.00633299999999792,-0.33564899999989
7143770270, (SLC),1595,2,965,2020-06-17 18:48,Includes In-Unit Washer & Dryer!,40.771019,-111.884283,5,https://saltlakecity.craigslist.org/apa/d/salt-lake-city-includes-in-unit-washer/7143770270.html,0.0737840000000034,3.91055200000018
7143751841, (Bluffdale),1275,1,785,2020-06-17 18:48,"Charming Location! 24 HR Fitness, Pool, Gameroom!",40.463901,-111.923389,5,https://saltlakecity.craigslist.org/apa/d/riverton-charming-location-24-hr/7143751841.html,0.0346779999999995,1.83793399999998
7143769937, (Cottonwood Heights),1234,2,871,2020-06-17 18:48,$1000 Off 1 or 2 Bedroom Apartments !!!,40.6226,-111.7777,22,https://saltlakecity.craigslist.org/apa/d/sandy-1000-off-1-or-2-bedroom/7143769937.html,0.180367000000004,9.55945100000021
7143767289, (Cotton Wood),1099,1,664,2020-06-17 18:41,$1099 Off on a Brand New Apartment,40.6226,-111.7777,22,https://saltlakecity.craigslist.org/apa/d/sandy-1099-off-on-brand-new-apartment/7143767289.html,0.180367000000004,9.55945100000021
7143759663, (Herriman),980,1,875,2020-06-17 18:35,1 bedroom blowout! 1st month free and 1/2 off July!!,40.5144,-112.0325,22,https://saltlakecity.craigslist.org/apa/d/herriman-1-bedroom-blowout-1st-month/7143759663.html,-0.0744329999999991,-3.94494899999995
